Date,Spend,AMS_revenue,Impressions,Clicks,PID,CID
01-01-2018,143.78,648.86,165668,336,p1,c1
08-01-2018,34.24,242.03,37688,81,p1,c1
15-01-2018,282.1,1588.98,228193,601,p1,c1
22-01-2018,202.67,1982.98,151943,510,p1,c1
29-01-2018,60.63,659.56,35479,153,p1,c1
05-02-2018,0,0,0,0,p1,c1
12-02-2018,0,0,0,0,p1,c1
19-02-2018,0,0,0,0,p1,c1
26-02-2018,0,0,0,0,p1,c1
05-03-2018,0,0,0,0,p1,c1
12-03-2018,0,0,0,0,p1,c1
19-03-2018,0,0,0,0,p1,c1
26-03-2018,0.39,39.79,51,1,p1,c1
02-04-2018,1.07,0,402,2,p1,c1
09-04-2018,0.34,0,90,2,p1,c1
16-04-2018,6.91,44.27,428,11,p1,c1
23-04-2018,1.31,0,414,3,p1,c1
30-04-2018,11.68,0,1766,16,p1,c1
07-05-2018,10.64,0,1086,14,p1,c1
14-05-2018,0.48,0,270,1,p1,c1
21-05-2018,2.27,0,549,6,p1,c1
28-05-2018,5.48,43.08,1337,10,p1,c1
04-06-2018,3.32,73.47,1118,8,p1,c1
11-06-2018,17.12,102.7,4726,29,p1,c1
18-06-2018,38.67,201.66,13738,64,p1,c1
25-06-2018,20.53,115.4,11424,50,p1,c1
02-07-2018,5.96,48.98,5614,25,p1,c1
09-07-2018,16.81,137.44,39013,73,p1,c1
16-07-2018,35.28,192.28,72931,161,p1,c1
23-07-2018,13.41,0,37534,68,p1,c1
30-07-2018,12.71,124.79,40363,60,p1,c1
06-08-2018,15.48,95.21,41873,66,p1,c1
13-08-2018,9.08,188.96,27701,55,p1,c1
20-08-2018,15.46,156.95,25887,76,p1,c1
27-08-2018,14.72,57.29,23180,67,p1,c1
03-09-2018,19.5,168.97,34409,80,p1,c1
10-09-2018,29.35,148.3,65586,106,p1,c1
17-09-2018,43.53,325.44,69624,138,p1,c1
24-09-2018,11.51,178.82,19177,49,p1,c1
01-10-2018,29.48,130.71,31379,85,p1,c1
08-10-2018,37.38,286.94,38318,108,p1,c1
15-10-2018,32.19,506.48,32275,108,p1,c1
22-10-2018,42.58,368.24,27248,128,p1,c1
29-10-2018,48.14,662.57,29774,166,p1,c1
05-11-2018,80.05,2000.4,72058,300,p1,c1
12-11-2018,152.98,2361.2,146915,468,p1,c1
19-11-2018,356.48,5916.71,308419,1134,p1,c1
26-11-2018,467.33,8115.55,369586,1583,p1,c1
03-12-2018,519.08,8124.85,707943,1669,p1,c1
10-12-2018,568.19,10748.08,792794,1958,p1,c1
17-12-2018,438.26,8797.86,526954,1546,p1,c1
24-12-2018,94.23,679.69,137703,340,p1,c1
01-01-2018,21.51,271.07,11223,39,p2,c1
08-01-2018,14.85,225.93,7061,32,p2,c1
15-01-2018,27.38,407.19,8566,45,p2,c1
22-01-2018,22.53,245.28,7232,48,p2,c1
29-01-2018,5.74,17.98,3408,19,p2,c1
05-02-2018,0,0,0,0,p2,c1
12-02-2018,0,0,0,0,p2,c1
19-02-2018,0,0,0,0,p2,c1
26-02-2018,0,0,0,0,p2,c1
05-03-2018,0,0,0,0,p2,c1
12-03-2018,0,0,0,0,p2,c1
19-03-2018,18.54,297.53,3097,33,p2,c1
26-03-2018,36.95,795.16,12477,102,p2,c1
02-04-2018,37.85,302.9,23790,117,p2,c1
09-04-2018,24.95,609.14,16145,86,p2,c1
16-04-2018,26.29,375,12406,75,p2,c1
23-04-2018,27.91,497.64,13561,86,p2,c1
30-04-2018,26.78,143.24,13027,91,p2,c1
07-05-2018,35.56,490.68,13489,101,p2,c1
14-05-2018,26.98,509.61,14899,105,p2,c1
21-05-2018,36.42,351.99,16063,117,p2,c1
28-05-2018,33.14,548.48,16009,114,p2,c1
04-06-2018,37.47,406.21,16529,113,p2,c1
11-06-2018,22.16,421,9053,71,p2,c1
18-06-2018,15.12,432.73,8050,48,p2,c1
25-06-2018,32.68,242.55,19980,116,p2,c1
02-07-2018,38.89,246.29,20424,121,p2,c1
09-07-2018,31.41,346.99,18173,106,p2,c1
16-07-2018,61.58,613.36,75337,213,p2,c1
23-07-2018,50.37,483.81,23840,146,p2,c1
30-07-2018,44.92,688.55,16950,132,p2,c1
06-08-2018,39.77,219.91,13751,99,p2,c1
13-08-2018,33.24,787.69,12477,103,p2,c1
20-08-2018,31.68,576.1,12073,89,p2,c1
27-08-2018,37.89,252.74,12468,109,p2,c1
03-09-2018,31.56,500.19,13923,94,p2,c1
10-09-2018,45.96,561.44,36418,155,p2,c1
17-09-2018,36.58,397.91,20326,121,p2,c1
24-09-2018,38.36,591.36,13882,124,p2,c1
01-10-2018,33.59,418.59,18282,104,p2,c1
08-10-2018,34.94,477.61,16376,99,p2,c1
15-10-2018,34.32,240.53,16387,108,p2,c1
22-10-2018,43.38,294.26,15731,118,p2,c1
29-10-2018,34.06,249.29,13990,121,p2,c1
05-11-2018,40.19,983.01,25558,148,p2,c1
12-11-2018,60.78,769.48,36285,199,p2,c1
19-11-2018,162.8,1726.11,137731,417,p2,c1
26-11-2018,44.15,1266.39,67545,214,p2,c1
03-12-2018,43.98,1022.07,63432,221,p2,c1
10-12-2018,42.14,994.53,67471,217,p2,c1
17-12-2018,13.81,296.29,20021,64,p2,c1
24-12-2018,0,0,1,0,p2,c1
01-01-2018,888.41,7863.02,737641,1990,p3,c3
08-01-2018,850.66,6572.13,569927,1567,p3,c3
15-01-2018,470.36,3844.23,405573,1234,p3,c3
22-01-2018,25.4,187.96,23587,81,p3,c3
29-01-2018,27.19,248.91,27885,73,p3,c3
05-02-2018,0,0,0,0,p3,c3
12-02-2018,0,0,0,0,p3,c3
19-02-2018,0,0,0,0,p3,c3
05-03-2018,0,0,0,0,p3,c3
12-03-2018,0,0,0,0,p3,c3
19-03-2018,354.25,2062.89,39065,421,p3,c3
26-03-2018,388.14,3394.1,43859,494,p3,c3
02-04-2018,472.02,4580.02,77628,790,p3,c3
09-04-2018,524.91,3687.83,388719,1160,p3,c3
16-04-2018,437.78,4293.06,118180,852,p3,c3
23-04-2018,307.2,3615.4,111420,668,p3,c3
30-04-2018,295.31,2949.94,133261,656,p3,c3
07-05-2018,267.35,2362.56,147504,620,p3,c3
14-05-2018,350.59,3437.09,181540,802,p3,c3
21-05-2018,256.73,2382.45,140413,676,p3,c3
28-05-2018,339.25,3311.5,151638,751,p3,c3
04-06-2018,359.85,3210.85,129897,736,p3,c3
11-06-2018,405.61,4192.61,151400,856,p3,c3
18-06-2018,441.69,4131.36,426895,1071,p3,c3
25-06-2018,104.61,1207.63,112662,266,p3,c3
02-07-2018,347.13,3763.04,196246,861,p3,c3
09-07-2018,482.98,4713.39,251579,1199,p3,c3
16-07-2018,677.9,6514.74,534436,1789,p3,c3
23-07-2018,601.95,5023.66,544206,1592,p3,c3
30-07-2018,456.39,5313,132812,1064,p3,c3
06-08-2018,454.34,6124.66,107518,1053,p3,c3
13-08-2018,482.33,5473.62,116690,1109,p3,c3
20-08-2018,455.77,5901.7,110088,1081,p3,c3
27-08-2018,548.05,5981.52,133417,1213,p3,c3
03-09-2018,559.89,6252.54,153217,1362,p3,c3
10-09-2018,621.66,6672.83,143195,1429,p3,c3
17-09-2018,574.58,6804.14,157771,1450,p3,c3
24-09-2018,563.87,7359.12,163664,1471,p3,c3
01-10-2018,605.23,7165.65,205064,1535,p3,c3
08-10-2018,537.81,5943.67,149037,1376,p3,c3
15-10-2018,666.8,6811.66,204979,1665,p3,c3
22-10-2018,661.79,6210.82,219063,1543,p3,c3
29-10-2018,1216.67,9802.03,544357,2569,p3,c3
05-11-2018,2010.92,14947.36,662168,3874,p3,c3
12-11-2018,2004.34,19899.15,647948,4221,p3,c3
19-11-2018,2357.43,33018.59,1129824,5881,p3,c3
