Date,Units,Revenue,Inventory_Amount,Inventory_Units,Price,PID,CID
01-01-2018,44,969.35,,,22.03068182,p1,c1
08-01-2018,43,1049.66,9459,,24.41069767,p1,c1
15-01-2018,54,1357.19,9523,,25.13314815,p1,c1
22-01-2018,139,2865.77,9483,,20.61705036,p1,c1
29-01-2018,104,1993.4,9371,,19.16730769,p1,c1
05-02-2018,35,870.85,9241,,24.88142857,p1,c1
12-02-2018,27,662.25,9225,,24.52777778,p1,c1
19-02-2018,33,836.21,9199,,25.33969697,p1,c1
26-02-2018,37,936.26,9170,,25.30432432,p1,c1
05-03-2018,38,953.63,9130,,25.09552632,p1,c1
12-03-2018,39,964.16,9087,,24.72205128,p1,c1
19-03-2018,33,821.33,9050,,24.88878788,p1,c1
26-03-2018,16,411.54,9027,,25.72125,p1,c1
02-04-2018,17,428.92,9010,,25.23058824,p1,c1
09-04-2018,20,499.16,8995,,24.958,p1,c1
16-04-2018,21,523.09,8976,,24.90904762,p1,c1
23-04-2018,26,643.38,8956,,24.74538462,p1,c1
30-04-2018,42,1040.93,8934,,24.78404762,p1,c1
07-05-2018,57,1410.96,8852,,24.75368421,p1,c1
14-05-2018,81,1995.96,8795,,24.64148148,p1,c1
21-05-2018,85,2084.22,8776,,24.52023529,p1,c1
28-05-2018,77,1890.18,8681,,24.54779221,p1,c1
04-06-2018,68,1670.37,8605,,24.56426471,p1,c1
11-06-2018,77,1891.06,8529,,24.55922078,p1,c1
18-06-2018,79,1940.92,8456,,24.56860759,p1,c1
25-06-2018,73,1790.86,8371,,24.53232877,p1,c1
02-07-2018,87,2137.16,8318,,24.56505747,p1,c1
09-07-2018,98,2405.99,8212,,24.55091837,p1,c1
16-07-2018,165,4087.63,8119,,24.77351515,p1,c1
23-07-2018,111,2715.57,7948,,24.46459459,p1,c1
30-07-2018,132,3232.22,7839,,24.48651515,p1,c1
06-08-2018,127,3110.32,7705,,24.49070866,p1,c1
13-08-2018,127,3104.92,7583,,24.44818898,p1,c1
20-08-2018,125,3050,7457,,24.4,p1,c1
27-08-2018,236,5758.4,7324,,24.4,p1,c1
03-09-2018,194,4733.6,7680,,24.4,p1,c1
10-09-2018,273,6661.2,9181,,24.4,p1,c1
17-09-2018,436,9679.48,9253,,22.2006422,p1,c1
24-09-2018,267,6478.9,8928,,24.26554307,p1,c1
01-10-2018,99,2568.06,10931,,25.94,p1,c1
08-10-2018,129,3346.26,12284,,25.94,p1,c1
15-10-2018,113,2931.22,12467,,25.94,p1,c1
22-10-2018,120,3112.8,12410,,25.94,p1,c1
29-10-2018,149,3865.06,13313,,25.94,p1,c1
05-11-2018,163,4228.22,13913,,25.94,p1,c1
12-11-2018,219,5681.21,14609,,25.94159817,p1,c1
19-11-2018,3499,58664.01,14550,,16.76593598,p1,c1
26-11-2018,2802,52548.31,12530,,18.75385796,p1,c1
03-12-2018,1499,29877.18,8368,,19.93140761,p1,c1
